CustomerID,TotalPurchaseAmount,NumberOfPurchases,AveragePurchaseValue,ClusterID,CustomerSegment
C10570,78.88,2,39.44,1,Low-Value Customers
C10571,3977.49,13,305.96,0,High-Value Customers
C10572,674.24,10,67.42,2,Regular Customers
C10573,554.4,8,69.3,2,Regular Customers
C10574,21.99,1,21.99,1,Low-Value Customers
C10575,575.65,6,95.94,2,Regular Customers
C10576,4151.17,24,172.97,0,High-Value Customers
C10577,769.36,8,96.17,2,Regular Customers
C10578,35.23,2,17.61,1,Low-Value Customers
C10579,807.07,9,89.67,2,Regular Customers
C10580,3638.38,11,330.76,0,High-Value Customers
C10581,58.92,3,19.64,1,Low-Value Customers
C10582,478.59,5,95.72,2,Regular Customers
C10583,774.79,8,96.85,2,Regular Customers
C10584,93.83,3,31.28,1,Low-Value Customers
C10585,62.33,2,31.16,1,Low-Value Customers
C10586,763.91,11,69.45,2,Regular Customers
C10587,405.36,6,67.56,2,Regular Customers
C10588,32.07,1,32.07,1,Low-Value Customers
C10589,671.65,7,95.95,2,Regular Customers
C10590,72.66,3,24.22,1,Low-Value Customers
C10591,5257.16,19,276.69,0,High-Value Customers
C10592,726.56,8,90.82,2,Regular Customers
C10593,92.0,3,30.67,1,Low-Value Customers
C10594,55.76,2,27.88,1,Low-Value Customers
C10595,836.49,9,92.94,2,Regular Customers
C10596,33.99,1,33.99,1,Low-Value Customers
C10597,126.94,4,31.74,1,Low-Value Customers
C10598,493.71,7,70.53,2,Regular Customers
C10599,94.18,2,47.09,1,Low-Value Customers
C10600,1190.26,12,99.19,2,Regular Customers
C10601,191.94,4,47.98,1,Low-Value Customers
C10602,5776.58,23,251.16,0,High-Value Customers
C10603,74.79,3,24.93,1,Low-Value Customers
C10604,762.12,12,63.51,2,Regular Customers
C10605,988.3,11,89.85,2,Regular Customers
C10606,419.17,7,59.88,2,Regular Customers
C10607,354.39,7,50.63,2,Regular Customers
C10608,123.05,4,30.76,1,Low-Value Customers
C10609,20.54,1,20.54,1,Low-Value Customers
C10610,484.93,8,60.62,2,Regular Customers
C10611,626.89,10,62.69,2,Regular Customers
C10612,3881.55,16,242.6,0,High-Value Customers
C10613,3771.91,15,251.46,0,High-Value Customers
C10614,36.57,1,36.57,1,Low-Value Customers
C10615,16.02,1,16.02,1,Low-Value Customers
C10616,3472.88,20,173.64,0,High-Value Customers
C10617,2920.41,12,243.37,0,High-Value Customers
C10618,466.24,6,77.71,2,Regular Customers
C10619,550.88,5,110.18,2,Regular Customers
C10620,67.79,4,16.95,1,Low-Value Customers
C10621,84.0,4,21.0,1,Low-Value Customers
C10622,514.31,6,85.72,2,Regular Customers
C10623,95.22,3,31.74,1,Low-Value Customers
C10624,31.28,1,31.28,1,Low-Value Customers
C10625,3456.18,12,288.02,0,High-Value Customers
C10626,654.59,8,81.82,2,Regular Customers
C10627,23.93,1,23.93,1,Low-Value Customers
C10628,3683.06,11,334.82,0,High-Value Customers
C10629,28.83,1,28.83,1,Low-Value Customers
C10630,56.06,3,18.69,1,Low-Value Customers
C10631,80.95,2,40.47,1,Low-Value Customers
C10632,19.87,1,19.87,1,Low-Value Customers
C10633,565.43,7,80.78,2,Regular Customers
C10634,167.06,4,41.76,1,Low-Value Customers
C10635,123.47,4,30.87,1,Low-Value Customers
C10636,87.21,3,29.07,1,Low-Value Customers
C10637,565.07,9,62.79,2,Regular Customers
C10638,134.99,4,33.75,1,Low-Value Customers
C10639,1010.83,12,84.24,2,Regular Customers
C10640,3137.51,11,285.23,0,High-Value Customers
C10641,16.09,1,16.09,1,Low-Value Customers
C10642,104.07,3,34.69,1,Low-Value Customers
C10643,76.01,3,25.34,1,Low-Value Customers
C10644,3629.91,21,172.85,0,High-Value Customers
C10645,4087.99,14,292.0,0,High-Value Customers
C10646,103.06,4,25.76,1,Low-Value Customers
C10647,4968.9,23,216.04,0,High-Value Customers
C10648,31.15,1,31.15,1,Low-Value Customers
C10649,88.65,3,29.55,1,Low-Value Customers
C10650,60.8,2,30.4,1,Low-Value Customers
C10651,110.18,3,36.73,1,Low-Value Customers
C10652,159.21,4,39.8,1,Low-Value Customers
C10653,464.04,8,58.0,2,Regular Customers
C10654,113.16,3,37.72,1,Low-Value Customers
C10655,8.96,1,8.96,1,Low-Value Customers
C10656,67.27,3,22.42,1,Low-Value Customers
C10657,458.04,5,91.61,2,Regular Customers
C10658,541.48,7,77.35,2,Regular Customers
C10659,447.71,5,89.54,2,Regular Customers
C10660,69.87,2,34.94,1,Low-Value Customers
C10661,1100.93,11,100.08,2,Regular Customers
C10662,155.77,4,38.94,1,Low-Value Customers
C10663,40.52,1,40.52,1,Low-Value Customers
C10664,336.95,5,67.39,1,Low-Value Customers
C10665,31.22,1,31.22,1,Low-Value Customers
C10666,42.48,3,14.16,1,Low-Value Customers
C10667,69.91,4,17.48,1,Low-Value Customers
C10668,3415.9,16,213.49,0,High-Value Customers
C10669,717.77,10,71.78,2,Regular Customers
C10670,58.54,2,29.27,1,Low-Value Customers
C10671,476.75,6,79.46,2,Regular Customers
C10672,59.65,2,29.83,1,Low-Value Customers
C10673,45.28,1,45.28,1,Low-Value Customers
C10674,3694.96,11,335.91,0,High-Value Customers
C10675,132.09,3,44.03,1,Low-Value Customers
C10676,88.26,4,22.06,1,Low-Value Customers
C10677,21.03,1,21.03,1,Low-Value Customers
C10678,87.84,4,21.96,1,Low-Value Customers
C10679,918.45,11,83.5,2,Regular Customers
C10680,30.61,1,30.61,1,Low-Value Customers
C10681,19.55,1,19.55,1,Low-Value Customers
C10682,111.49,3,37.16,1,Low-Value Customers
C10683,57.22,3,19.07,1,Low-Value Customers
C10684,69.5,2,34.75,1,Low-Value Customers
C10685,19.45,1,19.45,1,Low-Value Customers
C10686,108.53,4,27.13,1,Low-Value Customers
C10687,92.3,4,23.08,1,Low-Value Customers
C10688,986.95,12,82.25,2,Regular Customers
C10689,97.52,3,32.51,1,Low-Value Customers
C10690,517.97,8,64.75,2,Regular Customers
C10691,4625.82,28,165.21,0,High-Value Customers
C10692,438.68,7,62.67,2,Regular Customers
C10693,643.04,10,64.3,2,Regular Customers
C10694,21.79,1,21.79,1,Low-Value Customers
C10695,79.59,2,39.8,1,Low-Value Customers
C10696,4037.82,19,212.52,0,High-Value Customers
C10697,113.2,4,28.3,1,Low-Value Customers
C10698,62.21,2,31.1,1,Low-Value Customers
C10699,465.39,5,93.08,2,Regular Customers
C10700,903.33,10,90.33,2,Regular Customers
C10701,6902.92,25,276.12,0,High-Value Customers
C10702,436.67,5,87.33,2,Regular Customers
C10703,43.51,1,43.51,1,Low-Value Customers
C10704,593.28,8,74.16,2,Regular Customers
C10705,920.6,12,76.72,2,Regular Customers
C10706,439.02,8,54.88,2,Regular Customers
C10707,107.22,4,26.8,1,Low-Value Customers
C10708,1063.35,11,96.67,2,Regular Customers
C10709,100.54,3,33.51,1,Low-Value Customers
C10710,16.12,1,16.12,1,Low-Value Customers
C10711,39.21,2,19.6,1,Low-Value Customers
C10712,64.79,3,21.6,1,Low-Value Customers
C10713,50.57,3,16.86,1,Low-Value Customers
C10714,101.84,4,25.46,1,Low-Value Customers
C10715,308.84,5,61.77,1,Low-Value Customers
C10716,642.31,6,107.05,2,Regular Customers
C10717,424.93,8,53.12,2,Regular Customers
C10718,77.11,3,25.7,1,Low-Value Customers
C10719,41.52,1,41.52,1,Low-Value Customers
C10720,25.63,1,25.63,1,Low-Value Customers
C10721,75.63,3,25.21,1,Low-Value Customers
C10722,9.13,1,9.13,1,Low-Value Customers
C10723,1059.42,10,105.94,2,Regular Customers
C10724,52.15,2,26.08,1,Low-Value Customers
C10725,489.95,5,97.99,2,Regular Customers
C10726,335.97,6,56.0,2,Regular Customers
C10727,137.28,3,45.76,1,Low-Value Customers
C10728,320.56,5,64.11,1,Low-Value Customers
C10729,7067.67,27,261.77,0,High-Value Customers
C10730,695.62,7,99.37,2,Regular Customers
C10731,3001.9,10,300.19,0,High-Value Customers
C10732,65.87,3,21.96,1,Low-Value Customers
C10733,29.25,1,29.25,1,Low-Value Customers
C10734,76.02,2,38.01,1,Low-Value Customers
C10735,550.69,8,68.84,2,Regular Customers
C10736,36.56,1,36.56,1,Low-Value Customers
C10737,62.86,3,20.95,1,Low-Value Customers
C10738,37.04,1,37.04,1,Low-Value Customers
C10739,526.19,10,52.62,2,Regular Customers
C10740,105.13,4,26.28,1,Low-Value Customers
C10741,108.29,3,36.1,1,Low-Value Customers
C10742,98.28,2,49.14,1,Low-Value Customers
C10743,3333.42,21,158.73,0,High-Value Customers
C10744,98.83,4,24.71,1,Low-Value Customers
C10745,51.46,3,17.15,1,Low-Value Customers
C10746,130.27,3,43.42,1,Low-Value Customers
C10747,355.59,7,50.8,2,Regular Customers
C10748,954.75,9,106.08,2,Regular Customers
C10749,132.62,4,33.16,1,Low-Value Customers
C10750,5869.9,26,225.77,0,High-Value Customers
C10751,662.46,9,73.61,2,Regular Customers
C10752,83.96,2,41.98,1,Low-Value Customers
C10753,143.44,4,35.86,1,Low-Value Customers
C10754,60.91,2,30.46,1,Low-Value Customers
C10755,48.35,1,48.35,1,Low-Value Customers
C10756,134.68,3,44.89,1,Low-Value Customers
C10757,6026.51,27,223.2,0,High-Value Customers
C10758,114.15,4,28.54,1,Low-Value Customers
C10759,38.44,1,38.44,1,Low-Value Customers
C10760,540.91,6,90.15,2,Regular Customers
C10761,46.93,2,23.47,1,Low-Value Customers
C10762,989.16,12,82.43,2,Regular Customers
C10763,660.82,6,110.14,2,Regular Customers
C10764,66.96,2,33.48,1,Low-Value Customers
C10765,24.42,1,24.42,1,Low-Value Customers
C10766,777.83,9,86.43,2,Regular Customers
C10767,598.13,12,49.84,2,Regular Customers
C10768,6141.7,23,267.03,0,High-Value Customers
C10769,150.59,4,37.65,1,Low-Value Customers
C10770,5345.11,18,296.95,0,High-Value Customers
C10771,907.26,12,75.6,2,Regular Customers
C10772,286.95,6,47.82,1,Low-Value Customers
C10773,90.85,2,45.42,1,Low-Value Customers
C10774,5637.73,22,256.26,0,High-Value Customers
C10775,442.7,9,49.19,2,Regular Customers
C10776,1212.64,12,101.05,2,Regular Customers
C10777,7375.17,26,283.66,0,High-Value Customers
C10778,879.15,8,109.89,2,Regular Customers
C10779,47.5,3,15.83,1,Low-Value Customers
C10780,522.74,10,52.27,2,Regular Customers
C10781,113.38,4,28.34,1,Low-Value Customers
C10782,36.76,1,36.76,1,Low-Value Customers
C10783,568.3,7,81.19,2,Regular Customers
C10784,30.91,1,30.91,1,Low-Value Customers
C10785,1070.87,11,97.35,2,Regular Customers
C10786,94.0,2,47.0,1,Low-Value Customers
C10787,64.84,3,21.61,1,Low-Value Customers
C10788,126.58,4,31.64,1,Low-Value Customers
C10789,54.05,3,18.02,1,Low-Value Customers
C10790,31.62,1,31.62,1,Low-Value Customers
C10791,33.37,1,33.37,1,Low-Value Customers
C10792,70.88,3,23.63,1,Low-Value Customers
C10793,67.79,3,22.6,1,Low-Value Customers
C10794,2650.01,12,220.83,0,High-Value Customers
C10795,5219.64,18,289.98,0,High-Value Customers
C10796,516.51,7,73.79,2,Regular Customers
C10797,733.66,10,73.37,2,Regular Customers
C10798,2255.83,13,173.53,2,Regular Customers
C10799,88.08,4,22.02,1,Low-Value Customers
C10800,6258.14,22,284.46,0,High-Value Customers
C10801,80.85,2,40.42,1,Low-Value Customers
C10802,352.65,7,50.38,2,Regular Customers
C10803,429.35,5,85.87,2,Regular Customers
C10804,82.69,2,41.34,1,Low-Value Customers
C10805,53.82,3,17.94,1,Low-Value Customers
C10806,167.32,4,41.83,1,Low-Value Customers
C10807,40.33,2,20.16,1,Low-Value Customers
C10808,945.15,9,105.02,2,Regular Customers
C10809,30.88,1,30.88,1,Low-Value Customers
C10810,5765.58,22,262.07,0,High-Value Customers
C10811,2448.85,11,222.62,2,Regular Customers
C10812,46.37,2,23.18,1,Low-Value Customers
C10813,958.07,10,95.81,2,Regular Customers
C10814,1282.46,12,106.87,2,Regular Customers
C10815,74.99,4,18.75,1,Low-Value Customers
C10816,36.51,1,36.51,1,Low-Value Customers
C10817,54.59,4,13.65,1,Low-Value Customers
C10818,599.1,7,85.59,2,Regular Customers
C10819,108.99,3,36.33,1,Low-Value Customers
C10820,3652.17,11,332.02,0,High-Value Customers
C10821,33.8,2,16.9,1,Low-Value Customers
C10822,3490.62,11,317.33,0,High-Value Customers
C10823,701.02,9,77.89,2,Regular Customers
C10824,151.49,4,37.87,1,Low-Value Customers
C10825,9.74,1,9.74,1,Low-Value Customers
C10826,152.07,4,38.02,1,Low-Value Customers
C10827,943.54,10,94.35,2,Regular Customers
C10828,168.86,4,42.22,1,Low-Value Customers
C10829,1097.62,11,99.78,2,Regular Customers
C10830,27.15,1,27.15,1,Low-Value Customers
C10831,15.95,1,15.95,1,Low-Value Customers
C10832,540.32,8,67.54,2,Regular Customers
C10833,126.07,4,31.52,1,Low-Value Customers
C10834,144.59,4,36.15,1,Low-Value Customers
C10835,36.6,1,36.6,1,Low-Value Customers
C10836,1220.87,11,110.99,2,Regular Customers
C10837,148.4,4,37.1,1,Low-Value Customers
C10838,42.19,2,21.1,1,Low-Value Customers
C10839,558.43,6,93.07,2,Regular Customers
C10840,94.3,2,47.15,1,Low-Value Customers
C10841,13.58,1,13.58,1,Low-Value Customers
C10842,4586.33,13,352.79,0,High-Value Customers
C10843,962.11,9,106.9,2,Regular Customers
C10844,434.62,5,86.92,2,Regular Customers
C10845,118.16,4,29.54,1,Low-Value Customers
C10846,100.53,3,33.51,1,Low-Value Customers
C10847,1132.25,12,94.35,2,Regular Customers
C10848,3466.64,15,231.11,0,High-Value Customers
C10849,4995.69,22,227.08,0,High-Value Customers
C10850,97.21,4,24.3,1,Low-Value Customers
C10851,1037.55,10,103.76,2,Regular Customers
C10852,1156.29,12,96.36,2,Regular Customers
C10853,6691.33,25,267.65,0,High-Value Customers
C10854,880.81,9,97.87,2,Regular Customers
C10855,135.44,4,33.86,1,Low-Value Customers
C10856,3328.49,20,166.42,0,High-Value Customers
C10857,39.85,2,19.92,1,Low-Value Customers
C10858,97.46,4,24.36,1,Low-Value Customers
C10859,6705.62,22,304.8,0,High-Value Customers
C10860,98.41,3,32.8,1,Low-Value Customers
C10861,3024.11,10,302.41,0,High-Value Customers
C10862,91.36,3,30.45,1,Low-Value Customers
C10863,69.85,2,34.92,1,Low-Value Customers
C10864,49.66,1,49.66,1,Low-Value Customers
C10865,753.08,11,68.46,2,Regular Customers
C10866,34.96,1,34.96,1,Low-Value Customers
C10867,4141.01,26,159.27,0,High-Value Customers
C10868,70.51,2,35.26,1,Low-Value Customers
C10869,155.84,4,38.96,1,Low-Value Customers
C10870,152.34,4,38.08,1,Low-Value Customers
C10871,28.31,1,28.31,1,Low-Value Customers
C10872,715.55,11,65.05,2,Regular Customers
C10873,991.93,11,90.18,2,Regular Customers
C10874,71.24,2,35.62,1,Low-Value Customers
C10875,56.18,4,14.04,1,Low-Value Customers
C10876,860.93,8,107.62,2,Regular Customers
C10877,613.34,7,87.62,2,Regular Customers
C10878,562.95,9,62.55,2,Regular Customers
C10879,68.05,3,22.68,1,Low-Value Customers
C10880,62.44,2,31.22,1,Low-Value Customers
C10881,3526.0,15,235.07,0,High-Value Customers
C10882,752.29,10,75.23,2,Regular Customers
C10883,797.04,11,72.46,2,Regular Customers
C10884,94.88,2,47.44,1,Low-Value Customers
C10885,114.18,4,28.54,1,Low-Value Customers
C10886,31.4,2,15.7,1,Low-Value Customers
C10887,125.71,4,31.43,1,Low-Value Customers
C10888,45.64,4,11.41,1,Low-Value Customers
C10889,58.31,2,29.16,1,Low-Value Customers
C10890,405.5,8,50.69,2,Regular Customers
C10891,926.12,10,92.61,2,Regular Customers
C10892,473.05,7,67.58,2,Regular Customers
C10893,3680.98,13,283.15,0,High-Value Customers
C10894,92.37,2,46.18,1,Low-Value Customers
C10895,3643.9,25,145.76,0,High-Value Customers
C10896,48.69,1,48.69,1,Low-Value Customers
C10897,1013.99,10,101.4,2,Regular Customers
C10898,1018.2,12,84.85,2,Regular Customers
C10899,111.28,3,37.09,1,Low-Value Customers
C10900,63.18,2,31.59,1,Low-Value Customers
C10901,356.27,6,59.38,2,Regular Customers
C10902,619.53,8,77.44,2,Regular Customers
C10903,970.28,10,97.03,2,Regular Customers
C10904,905.05,11,82.28,2,Regular Customers
C10905,70.99,3,23.66,1,Low-Value Customers
C10906,118.69,4,29.67,1,Low-Value Customers
C10907,495.02,7,70.72,2,Regular Customers
C10908,119.89,3,39.96,1,Low-Value Customers
C10909,108.87,3,36.29,1,Low-Value Customers
C10910,783.65,8,97.96,2,Regular Customers
C10911,52.7,3,17.57,1,Low-Value Customers
C10912,842.79,9,93.64,2,Regular Customers
C10913,941.74,8,117.72,2,Regular Customers
C10914,513.29,11,46.66,2,Regular Customers
C10915,117.39,3,39.13,1,Low-Value Customers
C10916,25.83,1,25.83,1,Low-Value Customers
C10917,557.02,5,111.4,2,Regular Customers
C10918,713.38,10,71.34,2,Regular Customers
C10919,499.81,5,99.96,2,Regular Customers
C10920,668.77,11,60.8,2,Regular Customers
C10921,3944.43,19,207.6,0,High-Value Customers
C10922,657.93,8,82.24,2,Regular Customers
C10923,2922.23,17,171.9,0,High-Value Customers
C10924,51.91,2,25.96,1,Low-Value Customers
C10925,654.08,12,54.51,2,Regular Customers
C10926,52.37,1,52.37,1,Low-Value Customers
C10927,888.91,11,80.81,2,Regular Customers
C10928,116.19,3,38.73,1,Low-Value Customers
C10929,130.92,3,43.64,1,Low-Value Customers
C10930,24.2,1,24.2,1,Low-Value Customers
C10931,79.52,2,39.76,1,Low-Value Customers
C10932,164.62,4,41.16,1,Low-Value Customers
C10933,62.83,2,31.42,1,Low-Value Customers
C10934,871.79,11,79.25,2,Regular Customers
C10935,65.14,2,32.57,1,Low-Value Customers
C10936,20.44,1,20.44,1,Low-Value Customers
C10937,26.85,1,26.85,1,Low-Value Customers
C10938,74.33,3,24.78,1,Low-Value Customers
C10939,1308.77,12,109.06,2,Regular Customers
C10940,28.34,1,28.34,1,Low-Value Customers
C10941,2410.76,11,219.16,2,Regular Customers
C10942,68.04,4,17.01,1,Low-Value Customers
C10943,2526.34,12,210.53,2,Regular Customers
C10944,513.81,11,46.71,2,Regular Customers
C10945,81.88,2,40.94,1,Low-Value Customers
C10946,42.49,1,42.49,1,Low-Value Customers
C10947,14.84,1,14.84,1,Low-Value Customers
C10948,527.62,11,47.97,2,Regular Customers
C10949,631.76,7,90.25,2,Regular Customers
C10950,526.05,5,105.21,2,Regular Customers
C10951,147.58,4,36.9,1,Low-Value Customers
C10952,34.2,1,34.2,1,Low-Value Customers
C10953,69.59,3,23.2,1,Low-Value Customers
C10954,6565.75,25,262.63,0,High-Value Customers
C10955,123.65,4,30.91,1,Low-Value Customers
C10956,112.94,4,28.24,1,Low-Value Customers
C10957,51.33,1,51.33,1,Low-Value Customers
C10958,83.43,2,41.72,1,Low-Value Customers
C10959,662.83,9,73.65,2,Regular Customers
C10960,57.26,3,19.09,1,Low-Value Customers
C10961,280.76,5,56.15,1,Low-Value Customers
C10962,38.96,2,19.48,1,Low-Value Customers
C10963,4670.67,22,212.3,0,High-Value Customers
C10964,1017.99,12,84.83,2,Regular Customers
C10965,909.2,11,82.65,2,Regular Customers
C10966,3666.27,21,174.58,0,High-Value Customers
C10967,55.39,2,27.7,1,Low-Value Customers
C10968,22.84,1,22.84,1,Low-Value Customers
C10969,84.03,4,21.01,1,Low-Value Customers
C10970,36.28,1,36.28,1,Low-Value Customers
C10971,603.42,6,100.57,2,Regular Customers
C10972,6391.18,21,304.34,0,High-Value Customers
C10973,174.54,4,43.64,1,Low-Value Customers
C10974,60.89,4,15.22,1,Low-Value Customers
C10975,132.43,3,44.14,1,Low-Value Customers
C10976,66.32,2,33.16,1,Low-Value Customers
C10977,794.8,10,79.48,2,Regular Customers
C10978,499.66,9,55.52,2,Regular Customers
C10979,19.14,1,19.14,1,Low-Value Customers
C10980,71.92,2,35.96,1,Low-Value Customers
C10981,949.18,10,94.92,2,Regular Customers
C10982,168.26,4,42.06,1,Low-Value Customers
C10983,804.35,8,100.54,2,Regular Customers
C10984,1012.06,10,101.21,2,Regular Customers
C10985,465.97,7,66.57,2,Regular Customers
C10986,2699.33,10,269.93,0,High-Value Customers
C10987,102.42,3,34.14,1,Low-Value Customers
C10988,48.45,3,16.15,1,Low-Value Customers
C10989,115.23,3,38.41,1,Low-Value Customers
C10990,875.91,11,79.63,2,Regular Customers
C10991,60.78,4,15.2,1,Low-Value Customers
C10992,24.08,1,24.08,1,Low-Value Customers
C10993,44.27,1,44.27,1,Low-Value Customers
C10994,1137.12,12,94.76,2,Regular Customers
C10995,71.97,2,35.98,1,Low-Value Customers
C10996,574.1,10,57.41,2,Regular Customers
C10997,75.9,4,18.98,1,Low-Value Customers
C10998,5970.23,28,213.22,0,High-Value Customers
C10999,80.84,3,26.95,1,Low-Value Customers
C11000,9.57,1,9.57,1,Low-Value Customers
